conversation_id_str,created_at,full_text,username
1861064504198733956,Mon Nov 25 15:08:49 +0000 2024,Selamat hari guru jg buat calon guru yang capek bgt ma kurikulum (tidak) merdeka ini https://t.co/boNsgnKm0E,lilibraryie
1860917581835841591,Mon Nov 25 15:03:22 +0000 2024,@mediaindonesia Bukannya kurikulum merdeka mau diganti buu?,rebo_kliwon
1860633385674346903,Mon Nov 25 14:01:31 +0000 2024,@syahrindraaa @GhibahNaqMetal For Kurikulum Merdeka,wisnusapto01
1861042123367502199,Mon Nov 25 13:39:53 +0000 2024,Modul ajar ‍‍‍ Duhhh siapa yang udah dah pernah bikin modul ajar kurikulum merdeka aku ingin meminta saran https://t.co/6aNtXGZ9bv,gyumingyuuuuuu
1861038669848805538,Mon Nov 25 13:26:09 +0000 2024,Guru yang baik adalah guru yang merdeka dari kurikulum bukan dari kurikulum merdeka,systematichaos_
1861033975265038568,Mon Nov 25 13:07:30 +0000 2024,30 Soal PAS Bahasa Indonesia Kelas 3 Semester 1 Kurikulum Merdeka dan Kunci Jawaban SAS https://t.co/shiS45u1hO via @tribunnews,Agusgus344705
1860976189994844463,Mon Nov 25 11:25:31 +0000 2024,@txtdrbahasa Bukan kurikulum merdeka nih,KreakSemarang
1860986886954930503,Mon Nov 25 10:57:35 +0000 2024,@n4jaemin kurikulum merdeka bukannya merdeka malah bikin cape mampus anjirtt blm lgi tugas² P5,ikonypncfc
1860986886954930503,Mon Nov 25 10:55:22 +0000 2024,@ikonypncfc iyaaa soalnya angkatan sekolahku pake kurikulum merdeka yg nyebelin mampusss jd masa percobaan bgtt,n4jaemin
1860987009785037092,Mon Nov 25 10:00:54 +0000 2024,Tulisan ini merupakan refleksi atas pelaksanaan Kurikulum Merdeka dalam momentum bulan bahasa. Keresahan guru Bahasa Sunda menghadapi transisi pemerintahan baru. https://t.co/xtloMhLYrb,BdgBergerakID
1860985945279115636,Mon Nov 25 09:56:39 +0000 2024,duh gue adalah haters no 1 kurikulum merdeka ️️ apanya yg merdeka sih ️️️️️ sori,rahaszianegara
1860970247232344485,Mon Nov 25 09:32:47 +0000 2024,@salvationnj projek penguatan profil pelajar pancasila programnya kurikulum merdeka,cravenfjs
1860811671591334107,Mon Nov 25 07:42:26 +0000 2024,@salsatrash Cireng bukan sembarang cireng pas di buka isinya kurikulum merdeka,JuniJuni57488
1860933145979470140,Mon Nov 25 06:26:53 +0000 2024,Dari kritik tajam soal Kurikulum Merdeka hingga penghapusan Ujian Nasional diskusi ini mengupas berbagai persoalan yang belum tuntas. Simak rangkuman lengkapnya dalam postingan ini! #nadiemmakarim #menteripendidikan #merdekabelajar #mentericeo #pendidikangratis #pendidikan https://t.co/xWiUZjDNLF,semutapi_media
1860928860969423148,Mon Nov 25 06:09:49 +0000 2024,REVIEW KEGAGALAN KURIKULUM MERDEKA DAN HARAPAN DI ERA MENTERI PENDIDIKAN BARU Instagram: https://t.co/MDajt3hcj2 Website: https://t.co/u8bxrzpwiD Facebook: https://t.co/vqC6j7kYfz,LPMUNSIKA
1860694282497396783,Mon Nov 25 05:56:06 +0000 2024,@ilhampurnama887 Kurikulum Merdeka TOA dipake. Bebas sakarepe teriak-teriak pake TOA untuk belajar membaca koar-koar nyanyi dengan suara cemoreng dan propganda. Merdeka dunia dapat subsidi dari pejabat korup dan garansi masuk surga.,Kiamat_Change
1860834003542216759,Mon Nov 25 05:55:57 +0000 2024,@kegblgnunfaedh katanya kurikulum merdeka. tp kok protes gak boleh.,kbasatria
1860917581835841591,Mon Nov 25 05:25:00 +0000 2024,Wakil Menteri Pemberdayaan Perempuan dan Perlindungan Anak (PPPA) Veronica Tan menekankan pentingnya perubahan paradigma dalam pendidikan anak usia dini (PAUD) melalui Kurikulum Merdeka. https://t.co/eRz4KOn90n,mediaindonesia
1860911630558925143,Mon Nov 25 05:01:21 +0000 2024,Kurikulum Merdeka: Lanjut Atau Dikandangkan? https://t.co/wozHK3JO3f https://t.co/fyY8otfMjl,waspadadotid
1860900018275918050,Mon Nov 25 04:15:12 +0000 2024,Selamat gen Z literasi.. Jangan kek kami enggak jelas jaman kapan enggak jelas kehidupan. Kan enak pake kurikulum Merdeka bukan cekcok KTSP apa 13 apa NIM apa Zonasi,oklini63788
