full_text,filtered,cleaned,tokenize,normalisasi,sentiment_label,sentiment_score
Selamat hari guru jg buat calon guru yang capek bgt ma kurikulum (tidak) merdeka ini https://t.co/boNsgnKm0E,selamat hari guru jg buat calon guru yang capek bgt ma kurikulum tidak merdeka ini,selamat hari guru jg calon guru capek bgt ma kurikulum tidak merdeka,"['selamat', 'hari', 'guru', 'jg', 'calon', 'guru', 'capek', 'bgt', 'ma', 'kurikulum', 'tidak', 'merdeka']",selamat hari guru juga calon guru kesal sekali ma kurikulum tidak merdeka,negative,0.9992386102676392
@mediaindonesia Bukannya kurikulum merdeka mau diganti buu?,bukannya kurikulum merdeka mau diganti buu,bukan kurikulum merdeka ganti buu,"['bukan', 'kurikulum', 'merdeka', 'ganti', 'buu']",bukan kurikulum merdeka ganti buu,negative,0.9971821308135986
@syahrindraaa @GhibahNaqMetal For Kurikulum Merdeka,for kurikulum merdeka,for kurikulum merdeka,"['for', 'kurikulum', 'merdeka']",untuk kurikulum merdeka,neutral,0.997533917427063
Modul ajar ‍‍‍ Duhhh siapa yang udah dah pernah bikin modul ajar kurikulum merdeka aku ingin meminta saran https://t.co/6aNtXGZ9bv,modul ajar duhhh siapa yang udah dah pernah bikin modul ajar kurikulum merdeka aku ingin meminta saran,modul ajar duhhh siapa udah pernah modul ajar kurikulum merdeka aku ingin minta saran,"['modul', 'ajar', 'duhhh', 'siapa', 'udah', 'pernah', 'modul', 'ajar', 'kurikulum', 'merdeka', 'aku', 'ingin', 'minta', 'saran']",modul ajar duhhh siapa sudah pernah modul ajar kurikulum merdeka aku ingin minta saran,neutral,0.8982649445533752
Guru yang baik adalah guru yang merdeka dari kurikulum bukan dari kurikulum merdeka,guru yang baik adalah guru yang merdeka dari kurikulum bukan dari kurikulum merdeka,guru baik adalah guru merdeka kurikulum bukan kurikulum merdeka,"['guru', 'baik', 'adalah', 'guru', 'merdeka', 'kurikulum', 'bukan', 'kurikulum', 'merdeka']",guru baik adalah guru merdeka kurikulum bukan kurikulum merdeka,negative,0.9250420928001404
30 Soal PAS Bahasa Indonesia Kelas 3 Semester 1 Kurikulum Merdeka dan Kunci Jawaban SAS https://t.co/shiS45u1hO via @tribunnews,soal pas bahasa indonesia kelas semester kurikulum merdeka dan kunci jawaban sas via,soal bahasa indonesia kelas semester kurikulum merdeka kunci jawab sas via,"['soal', 'bahasa', 'indonesia', 'kelas', 'semester', 'kurikulum', 'merdeka', 'kunci', 'jawab', 'sas', 'via']",soal bahasa indonesia kelas semester kurikulum merdeka kunci jawab sas via,neutral,0.9991355538368225
@txtdrbahasa Bukan kurikulum merdeka nih,bukan kurikulum merdeka nih,bukan kurikulum merdeka,"['bukan', 'kurikulum', 'merdeka']",bukan kurikulum merdeka,negative,0.9983501434326172
@n4jaemin kurikulum merdeka bukannya merdeka malah bikin cape mampus anjirtt blm lgi tugas² P5,kurikulum merdeka bukannya merdeka malah bikin cape mampus anjirtt blm lgi tugas p,kurikulum merdeka bukan merdeka malah cape mampus anjirtt blm lgi tugas p,"['kurikulum', 'merdeka', 'bukan', 'merdeka', 'malah', 'cape', 'mampus', 'anjirtt', 'blm', 'lgi', 'tugas', 'p']",kurikulum merdeka bukan merdeka malah kesal mati anjirtt blm lagi tugas p,negative,0.9991951584815979
@ikonypncfc iyaaa soalnya angkatan sekolahku pake kurikulum merdeka yg nyebelin mampusss jd masa percobaan bgtt,iyaaa soalnya angkatan sekolahku pake kurikulum merdeka yg nyebelin mampusss jd masa percobaan bgtt,iyaaa soal angkat sekolah pake kurikulum merdeka nyebelin mampusss jd masa coba bgtt,"['iyaaa', 'soal', 'angkat', 'sekolah', 'pake', 'kurikulum', 'merdeka', 'nyebelin', 'mampusss', 'jd', 'masa', 'coba', 'bgtt']",iya soal angkat sekolah pakai kurikulum merdeka nyebelin mampusss jadi masa coba sekali,negative,0.998536229133606
Tulisan ini merupakan refleksi atas pelaksanaan Kurikulum Merdeka dalam momentum bulan bahasa. Keresahan guru Bahasa Sunda menghadapi transisi pemerintahan baru. https://t.co/xtloMhLYrb,tulisan ini merupakan refleksi atas pelaksanaan kurikulum merdeka dalam momentum bulan bahasa keresahan guru bahasa sunda menghadapi transisi pemerintahan baru,tulis rupa refleksi atas laksana kurikulum merdeka dalam momentum bulan bahasa resah guru bahasa sunda hadap transisi perintah baru,"['tulis', 'rupa', 'refleksi', 'atas', 'laksana', 'kurikulum', 'merdeka', 'dalam', 'momentum', 'bulan', 'bahasa', 'resah', 'guru', 'bahasa', 'sunda', 'hadap', 'transisi', 'perintah', 'baru']",tulis rupa refleksi atas laksana kurikulum merdeka dalam momentum bulan bahasa resah guru bahasa sunda hadap transisi perintah baru,neutral,0.998594343662262
