full_text,filtered,cleaned,tokenize,normalisasi
Selamat hari guru jg buat calon guru yang capek bgt ma kurikulum (tidak) merdeka ini https://t.co/boNsgnKm0E,selamat hari guru jg buat calon guru yang capek bgt ma kurikulum tidak merdeka ini,selamat hari guru jg calon guru capek bgt ma kurikulum tidak merdeka,"['selamat', 'hari', 'guru', 'jg', 'calon', 'guru', 'capek', 'bgt', 'ma', 'kurikulum', 'tidak', 'merdeka']","['selamat', 'hari', 'guru', 'juga', 'calon', 'guru', 'kesal', 'sekali', 'ma', 'kurikulum', 'tidak', 'merdeka']"
@mediaindonesia Bukannya kurikulum merdeka mau diganti buu?,bukannya kurikulum merdeka mau diganti buu,bukan kurikulum merdeka ganti buu,"['bukan', 'kurikulum', 'merdeka', 'ganti', 'buu']","['bukan', 'kurikulum', 'merdeka', 'ganti', 'buu']"
@syahrindraaa @GhibahNaqMetal For Kurikulum Merdeka,for kurikulum merdeka,for kurikulum merdeka,"['for', 'kurikulum', 'merdeka']","['untuk', 'kurikulum', 'merdeka']"
Modul ajar ‍‍‍ Duhhh siapa yang udah dah pernah bikin modul ajar kurikulum merdeka aku ingin meminta saran https://t.co/6aNtXGZ9bv,modul ajar duhhh siapa yang udah dah pernah bikin modul ajar kurikulum merdeka aku ingin meminta saran,modul ajar duhhh siapa udah pernah modul ajar kurikulum merdeka aku ingin minta saran,"['modul', 'ajar', 'duhhh', 'siapa', 'udah', 'pernah', 'modul', 'ajar', 'kurikulum', 'merdeka', 'aku', 'ingin', 'minta', 'saran']","['modul', 'ajar', 'duhhh', 'siapa', 'sudah', 'pernah', 'modul', 'ajar', 'kurikulum', 'merdeka', 'aku', 'ingin', 'minta', 'saran']"
Guru yang baik adalah guru yang merdeka dari kurikulum bukan dari kurikulum merdeka,guru yang baik adalah guru yang merdeka dari kurikulum bukan dari kurikulum merdeka,guru baik adalah guru merdeka kurikulum bukan kurikulum merdeka,"['guru', 'baik', 'adalah', 'guru', 'merdeka', 'kurikulum', 'bukan', 'kurikulum', 'merdeka']","['guru', 'baik', 'adalah', 'guru', 'merdeka', 'kurikulum', 'bukan', 'kurikulum', 'merdeka']"
30 Soal PAS Bahasa Indonesia Kelas 3 Semester 1 Kurikulum Merdeka dan Kunci Jawaban SAS https://t.co/shiS45u1hO via @tribunnews,soal pas bahasa indonesia kelas semester kurikulum merdeka dan kunci jawaban sas via,soal bahasa indonesia kelas semester kurikulum merdeka kunci jawab sas via,"['soal', 'bahasa', 'indonesia', 'kelas', 'semester', 'kurikulum', 'merdeka', 'kunci', 'jawab', 'sas', 'via']","['soal', 'bahasa', 'indonesia', 'kelas', 'semester', 'kurikulum', 'merdeka', 'kunci', 'jawab', 'sas', 'via']"
@txtdrbahasa Bukan kurikulum merdeka nih,bukan kurikulum merdeka nih,bukan kurikulum merdeka,"['bukan', 'kurikulum', 'merdeka']","['bukan', 'kurikulum', 'merdeka']"
@n4jaemin kurikulum merdeka bukannya merdeka malah bikin cape mampus anjirtt blm lgi tugas² P5,kurikulum merdeka bukannya merdeka malah bikin cape mampus anjirtt blm lgi tugas p,kurikulum merdeka bukan merdeka malah cape mampus anjirtt blm lgi tugas p,"['kurikulum', 'merdeka', 'bukan', 'merdeka', 'malah', 'cape', 'mampus', 'anjirtt', 'blm', 'lgi', 'tugas', 'p']","['kurikulum', 'merdeka', 'bukan', 'merdeka', 'malah', 'kesal', 'mati', 'anjirtt', 'blm', 'lagi', 'tugas', 'p']"
@ikonypncfc iyaaa soalnya angkatan sekolahku pake kurikulum merdeka yg nyebelin mampusss jd masa percobaan bgtt,iyaaa soalnya angkatan sekolahku pake kurikulum merdeka yg nyebelin mampusss jd masa percobaan bgtt,iyaaa soal angkat sekolah pake kurikulum merdeka nyebelin mampusss jd masa coba bgtt,"['iyaaa', 'soal', 'angkat', 'sekolah', 'pake', 'kurikulum', 'merdeka', 'nyebelin', 'mampusss', 'jd', 'masa', 'coba', 'bgtt']","['iya', 'soal', 'angkat', 'sekolah', 'pakai', 'kurikulum', 'merdeka', 'nyebelin', 'mampusss', 'jadi', 'masa', 'coba', 'sekali']"
Tulisan ini merupakan refleksi atas pelaksanaan Kurikulum Merdeka dalam momentum bulan bahasa. Keresahan guru Bahasa Sunda menghadapi transisi pemerintahan baru. https://t.co/xtloMhLYrb,tulisan ini merupakan refleksi atas pelaksanaan kurikulum merdeka dalam momentum bulan bahasa keresahan guru bahasa sunda menghadapi transisi pemerintahan baru,tulis rupa refleksi atas laksana kurikulum merdeka dalam momentum bulan bahasa resah guru bahasa sunda hadap transisi perintah baru,"['tulis', 'rupa', 'refleksi', 'atas', 'laksana', 'kurikulum', 'merdeka', 'dalam', 'momentum', 'bulan', 'bahasa', 'resah', 'guru', 'bahasa', 'sunda', 'hadap', 'transisi', 'perintah', 'baru']","['tulis', 'rupa', 'refleksi', 'atas', 'laksana', 'kurikulum', 'merdeka', 'dalam', 'momentum', 'bulan', 'bahasa', 'resah', 'guru', 'bahasa', 'sunda', 'hadap', 'transisi', 'perintah', 'baru']"
